# accel_bits: 16
# accel_range_g: 16
# accel_source: IIS3DWBG1
# axis_orientation: x=primary_balance_axis,y=secondary,z=fore_aft
# optical_reference: 0_deg_top_dead_center_viewed_from_spinner_side
# rotation_direction: CW_viewed_from_spinner_side
# rpm_mean: 2300.000
# sample_name: rough_harmonics
# target_revolutions: 120
# tick_rate_hz: 1000000
# vibsense_csv_version: 2
tick,rev_offset,phase_deg,ax,ay,az,source,range_g,bits
21300,0,293.936325796,397,288,285,2,16,16
21450,0,296.006299921,440,325,282,2,16,16
21600,0,298.076274047,437,322,265,2,16,16
21750,0,300.146248172,433,329,267,2,16,16
21900,0,302.216222297,515,377,292,2,16,16
22050,0,304.286196423,518,353,317,2,16,16
22200,0,306.356170548,493,339,297,2,16,16
22350,0,308.426144673,546,356,302,2,16,16
22500,0,310.496118799,527,365,334,2,16,16
22650,0,312.566092924,493,371,298,2,16,16
22800,0,314.636067049,513,376,310,2,16,16
22950,0,316.706041174,499,326,305,2,16,16
23100,0,318.776015300,519,317,307,2,16,16
23250,0,320.845989425,451,298,297,2,16,16
23400,0,322.915963550,430,300,262,2,16,16
23550,0,324.985937676,392,252,282,2,16,16
23700,0,327.055911801,347,239,262,2,16,16
23850,0,329.125885926,287,224,223,2,16,16
24000,0,331.195860052,252,188,216,2,16,16
24150,0,333.265834177,207,149,186,2,16,16
24300,0,335.335808302,133,131,216,2,16,16
24450,0,337.405782428,36,79,151,2,16,16
24600,0,339.475756553,-40,58,133,2,16,16
24750,0,341.545730678,-93,3,115,2,16,16
24900,0,343.615704804,-184,-42,103,2,16,16
25050,0,345.685678929,-260,-94,86,2,16,16
25200,0,347.755653054,-356,-145,34,2,16,16
25350,0,349.825627180,-366,-181,22,2,16,16
25500,0,351.895601305,-458,-228,-1,2,16,16
25650,0,353.965575430,-562,-298,-25,2,16,16
25800,0,356.035549556,-594,-276,-50,2,16,16
25950,0,358.105523681,-647,-368,-53,2,16,16
26100,1,0.175497806,-769,-356,-138,2,16,16
26250,1,2.245471932,-784,-418,-111,2,16,16
26400,1,4.315446057,-821,-448,-87,2,16,16
26550,1,6.385420182,-834,-433,-169,2,16,16
26700,1,8.455394308,-871,-430,-151,2,16,16
26850,1,10.525368433,-887,-477,-161,2,16,16
27000,1,12.595342558,-889,-453,-153,2,16,16
27150,1,14.665316684,-850,-445,-141,2,16,16
27300,1,16.735290809,-830,-489,-132,2,16,16
27450,1,18.805264934,-855,-456,-127,2,16,16
27600,1,20.875239060,-829,-444,-110,2,16,16
27750,1,22.945213185,-722,-393,-123,2,16,16
27900,1,25.015187310,-738,-370,-95,2,16,16
28050,1,27.085161435,-673,-369,-74,2,16,16
28200,1,29.155135561,-596,-332,-56,2,16,16
28350,1,31.225109686,-517,-268,-61,2,16,16
28500,1,33.295083811,-431,-258,-74,2,16,16
28650,1,35.365057937,-361,-204,-11,2,16,16
28800,1,37.435032062,-299,-148,-10,2,16,16
28950,1,39.505006187,-187,-112,41,2,16,16
29100,1,41.574980313,-104,-47,40,2,16,16
29250,1,43.644954438,14,6,96,2,16,16
29400,1,45.714928563,68,23,114,2,16,16
29550,1,47.784902689,131,64,118,2,16,16
29700,1,49.854876814,220,128,146,2,16,16
29850,1,51.924850939,345,159,196,2,16,16
30000,1,53.994825065,384,200,203,2,16,16
30150,1,56.064799190,426,258,202,2,16,16
30300,1,58.134773315,518,266,220,2,16,16
30450,1,60.204747441,587,297,223,2,16,16
30600,1,62.274721566,659,333,245,2,16,16
30750,1,64.344695691,664,353,255,2,16,16
30900,1,66.414669817,730,395,276,2,16,16
31050,1,68.484643942,762,379,298,2,16,16
31200,1,70.554618067,756,409,315,2,16,16
31350,1,72.624592193,779,415,292,2,16,16
31500,1,74.694566318,821,402,269,2,16,16
31650,1,76.764540443,820,431,268,2,16,16
31800,1,78.834514569,798,380,292,2,16,16
31950,1,80.904488694,776,426,297,2,16,16
32100,1,82.974462819,772,386,264,2,16,16
32250,1,85.044436945,726,398,247,2,16,16
32400,1,87.114411070,700,368,238,2,16,16
32550,1,89.184385195,655,307,239,2,16,16
32700,1,91.254359321,637,302,252,2,16,16
32850,1,93.324333446,600,312,202,2,16,16
33000,1,95.394307571,614,301,202,2,16,16
33150,1,97.464281696,523,287,169,2,16,16
33300,1,99.534255822,512,260,184,2,16,16
33450,1,101.604229947,475,249,147,2,16,16
33600,1,103.674204072,412,216,165,2,16,16
33750,1,105.744178198,401,204,165,2,16,16
33900,1,107.814152323,308,189,140,2,16,16
34050,1,109.884126448,319,176,112,2,16,16
34200,1,111.954100574,305,112,109,2,16,16
34350,1,114.024074699,221,118,102,2,16,16
34500,1,116.094048824,221,120,107,2,16,16
34650,1,118.164022950,242,73,82,2,16,16
34800,1,120.233997075,202,131,111,2,16,16
34950,1,122.303971200,173,129,82,2,16,16
35100,1,124.373945326,175,67,73,2,16,16
35250,1,126.443919451,164,93,80,2,16,16
35400,1,128.513893576,180,92,92,2,16,16
35550,1,130.583867702,171,115,97,2,16,16
35700,1,132.653841827,155,67,68,2,16,16
35850,1,134.723815952,146,82,70,2,16,16
36000,1,136.793790078,157,81,67,2,16,16
36150,1,138.863764203,181,97,66,2,16,16
36300,1,140.933738328,164,78,94,2,16,16
36450,1,143.003712454,169,81,94,2,16,16
36600,1,145.073686579,154,75,43,2,16,16
36750,1,147.143660704,132,85,94,2,16,16
36900,1,149.213634830,140,71,68,2,16,16
37050,1,151.283608955,161,70,83,2,16,16
37200,1,153.353583080,146,90,77,2,16,16
37350,1,155.423557206,121,100,78,2,16,16
37500,1,157.493531331,101,123,108,2,16,16
37650,1,159.563505456,123,92,96,2,16,16
37800,1,161.633479582,104,83,99,2,16,16
37950,1,163.703453707,92,62,63,2,16,16
38100,1,165.773427832,79,61,56,2,16,16
38250,1,167.843401957,76,88,84,2,16,16
38400,1,169.913376083,62,68,78,2,16,16
38550,1,171.983350208,59,57,24,2,16,16
38700,1,174.053324333,43,81,74,2,16,16
38850,1,176.123298459,35,52,35,2,16,16
39000,1,178.193272584,11,41,59,2,16,16
39150,1,180.263246709,-24,4,68,2,16,16
39300,1,182.333220835,-32,26,58,2,16,16
39450,1,184.403194960,-34,40,68,2,16,16
39600,1,186.473169085,-58,18,65,2,16,16
39750,1,188.543143211,-52,-35,39,2,16,16
39900,1,190.613117336,-48,20,46,2,16,16
40049,1,192.683091461,-88,-9,82,2,16,16
40199,1,194.753065587,-108,-18,73,2,16,16
40349,1,196.823039712,-55,36,71,2,16,16
40499,1,198.893013837,-75,6,35,2,16,16
40649,1,200.962987963,-60,28,78,2,16,16
40799,1,203.032962088,-91,-18,74,2,16,16
40949,1,205.102936213,-29,30,83,2,16,16
41099,1,207.172910339,-38,67,81,2,16,16
41249,1,209.242884464,-43,33,54,2,16,16
41399,1,211.312858589,-36,56,69,2,16,16
41549,1,213.382832715,-16,67,89,2,16,16
41699,1,215.452806840,-8,75,116,2,16,16
41849,1,217.522780965,3,74,92,2,16,16
41999,1,219.592755091,1,62,118,2,16,16
42149,1,221.662729216,57,88,146,2,16,16
42299,1,223.732703341,46,160,149,2,16,16
42449,1,225.802677467,60,127,141,2,16,16
42599,1,227.872651592,71,137,147,2,16,16
42749,1,229.942625717,36,121,148,2,16,16
42899,1,232.012599843,96,162,176,2,16,16
43049,1,234.082573968,88,147,152,2,16,16
43199,1,236.152548093,94,126,169,2,16,16
43349,1,238.222522218,104,124,163,2,16,16
43499,1,240.292496344,88,152,162,2,16,16
43649,1,242.362470469,122,164,209,2,16,16
43799,1,244.432444594,94,156,151,2,16,16
43949,1,246.502418720,89,120,181,2,16,16
44099,1,248.572392845,88,158,165,2,16,16
44249,1,250.642366970,104,157,161,2,16,16
44399,1,252.712341096,111,141,160,2,16,16
44549,1,254.782315221,84,123,195,2,16,16
44699,1,256.852289346,65,154,149,2,16,16
44849,1,258.922263472,110,138,213,2,16,16
44999,1,260.992237597,71,147,196,2,16,16
45149,1,263.062211722,112,146,170,2,16,16
45299,1,265.132185848,92,156,206,2,16,16
45449,1,267.202159973,84,134,205,2,16,16
45599,1,269.272134098,91,139,228,2,16,16
45749,1,271.342108224,119,221,232,2,16,16
45899,1,273.412082349,137,193,233,2,16,16
46049,1,275.482056474,130,171,218,2,16,16
46199,1,277.552030600,166,195,247,2,16,16
46349,1,279.622004725,204,208,231,2,16,16
46499,1,281.691978850,182,208,231,2,16,16
46649,1,283.761952976,187,221,241,2,16,16
46799,1,285.831927101,212,231,259,2,16,16
46949,1,287.901901226,230,223,281,2,16,16
47099,1,289.971875352,269,259,290,2,16,16
47249,1,292.041849477,293,270,248,2,16,16
47399,1,294.111823602,308,274,247,2,16,16
47549,1,296.181797728,367,242,279,2,16,16
47699,1,298.251771853,334,298,303,2,16,16
47849,1,300.321745978,379,305,298,2,16,16
47999,1,302.391720103,459,308,344,2,16,16
48149,1,304.461694229,457,330,309,2,16,16
48299,1,306.531668354,461,334,354,2,16,16
48449,1,308.601642479,468,361,291,2,16,16
48599,1,310.671616605,496,326,311,2,16,16
48749,1,312.741590730,472,317,335,2,16,16
48899,1,314.811564855,457,367,339,2,16,16
49049,1,316.881538981,420,322,316,2,16,16
49199,1,318.951513106,422,316,333,2,16,16
49349,1,321.021487231,384,291,285,2,16,16
49499,1,323.091461357,353,313,285,2,16,16
49649,1,325.161435482,314,253,284,2,16,16
49799,1,327.231409607,281,263,258,2,16,16
49949,1,329.301383733,226,220,282,2,16,16
50099,1,331.371357858,191,156,222,2,16,16
50249,1,333.441331983,90,130,234,2,16,16
50399,1,335.511306109,45,88,185,2,16,16
50549,1,337.581280234,11,77,189,2,16,16
50699,1,339.651254359,-94,32,159,2,16,16
50849,1,341.721228485,-149,-43,140,2,16,16
50999,1,343.791202610,-227,-42,107,2,16,16
51149,1,345.861176735,-301,-121,33,2,16,16
51299,1,347.931150861,-388,-159,41,2,16,16
51449,1,350.001124986,-502,-185,42,2,16,16
51599,1,352.071099111,-555,-257,27,2,16,16
51749,1,354.141073237,-627,-290,-18,2,16,16
51899,1,356.211047362,-713,-297,-44,2,16,16
52049,1,358.281021487,-754,-353,-78,2,16,16
52199,2,0.350995613,-822,-364,-102,2,16,16
52349,2,2.420969738,-876,-419,-95,2,16,16
52499,2,4.490943863,-882,-439,-119,2,16,16
52649,2,6.560917989,-917,-438,-125,2,16,16
52799,2,8.630892114,-951,-457,-153,2,16,16
52949,2,10.700866239,-969,-471,-131,2,16,16
53099,2,12.770840364,-965,-467,-126,2,16,16
53249,2,14.840814490,-957,-464,-125,2,16,16
53399,2,16.910788615,-941,-490,-182,2,16,16
53549,2,18.980762740,-910,-436,-151,2,16,16
53699,2,21.050736866,-883,-428,-111,2,16,16
53849,2,23.120710991,-825,-435,-118,2,16,16
53999,2,25.190685116,-771,-367,-110,2,16,16
54149,2,27.260659242,-714,-371,-88,2,16,16
54299,2,29.330633367,-667,-333,-113,2,16,16
54449,2,31.400607492,-593,-294,-20,2,16,16
54599,2,33.470581618,-497,-262,-12,2,16,16
54749,2,35.540555743,-426,-194,-27,2,16,16
54899,2,37.610529868,-337,-165,17,2,16,16
55049,2,39.680503994,-293,-130,27,2,16,16
55199,2,41.750478119,-208,-86,74,2,16,16
55349,2,43.820452244,-64,-31,99,2,16,16
55499,2,45.890426370,25,18,104,2,16,16
55649,2,47.960400495,131,61,155,2,16,16
55799,2,50.030374620,203,111,136,2,16,16
55949,2,52.100348746,275,157,174,2,16,16
56099,2,54.170322871,347,198,214,2,16,16
56249,2,56.240296996,392,262,189,2,16,16
56399,2,58.310271122,499,246,248,2,16,16
56549,2,60.380245247,531,304,274,2,16,16
56699,2,62.450219372,602,303,282,2,16,16
56849,2,64.520193498,641,360,282,2,16,16
56999,2,66.590167623,680,391,337,2,16,16
57149,2,68.660141748,720,371,303,2,16,16
57299,2,70.730115874,717,413,292,2,16,16
57449,2,72.800089999,734,397,311,2,16,16
57599,2,74.870064124,733,430,290,2,16,16
57749,2,76.940038250,742,406,265,2,16,16
57899,2,79.010012375,773,395,278,2,16,16
58049,2,81.079986500,725,402,264,2,16,16
58199,2,83.149960625,735,378,318,2,16,16
58349,2,85.219934751,707,379,288,2,16,16
58499,2,87.289908876,679,354,260,2,16,16
58649,2,89.359883001,651,325,251,2,16,16
58799,2,91.429857127,586,330,283,2,16,16
58949,2,93.499831252,576,296,242,2,16,16
59099,2,95.569805377,563,299,206,2,16,16
59249,2,97.639779503,485,229,198,2,16,16
59399,2,99.709753628,461,258,193,2,16,16
59549,2,101.779727753,414,259,182,2,16,16
59699,2,103.849701879,397,228,178,2,16,16
59849,2,105.919676004,339,184,190,2,16,16
59999,2,107.989650129,356,219,134,2,16,16
60149,2,110.059624255,292,149,129,2,16,16
60299,2,112.129598380,245,142,154,2,16,16
60449,2,114.199572505,282,111,140,2,16,16
60599,2,116.269546631,247,133,102,2,16,16
60749,2,118.339520756,221,140,122,2,16,16
60899,2,120.409494881,207,116,92,2,16,16
61049,2,122.479469007,180,101,94,2,16,16
61199,2,124.549443132,173,111,87,2,16,16
61349,2,126.619417257,184,133,126,2,16,16
61499,2,128.689391383,183,93,136,2,16,16
61649,2,130.759365508,181,88,76,2,16,16
61799,2,132.829339633,167,116,81,2,16,16
61949,2,134.899313759,155,113,54,2,16,16
62099,2,136.969287884,161,111,91,2,16,16
62249,2,139.039262009,186,127,85,2,16,16
62399,2,141.109236135,194,131,114,2,16,16
62549,2,143.179210260,163,115,137,2,16,16
62699,2,145.249184385,162,140,110,2,16,16
62849,2,147.319158511,193,121,132,2,16,16
62999,2,149.389132636,183,126,117,2,16,16
63149,2,151.459106761,181,96,129,2,16,16
63299,2,153.529080886,141,132,149,2,16,16
63449,2,155.599055012,154,146,105,2,16,16
63599,2,157.669029137,145,152,107,2,16,16
63749,2,159.739003262,151,117,111,2,16,16
63899,2,161.808977388,108,132,107,2,16,16
64049,2,163.878951513,151,122,147,2,16,16
64199,2,165.948925638,122,87,89,2,16,16
64349,2,168.018899764,112,119,111,2,16,16
64499,2,170.088873889,70,123,126,2,16,16
64649,2,172.158848014,78,81,113,2,16,16
64799,2,174.228822140,89,41,80,2,16,16
64949,2,176.298796265,23,79,94,2,16,16
65099,2,178.368770390,44,74,97,2,16,16
65249,2,180.438744516,39,74,69,2,16,16
65399,2,182.508718641,3,61,101,2,16,16
65549,2,184.578692766,20,62,74,2,16,16
65699,2,186.648666892,-9,51,63,2,16,16
65849,2,188.718641017,13,87,57,2,16,16
65999,2,190.788615142,-5,61,93,2,16,16
66149,2,192.858589268,-13,56,83,2,16,16
66299,2,194.928563393,18,79,88,2,16,16
66449,2,196.998537518,-2,70,94,2,16,16
66599,2,199.068511644,10,84,80,2,16,16
66749,2,201.138485769,-30,69,107,2,16,16
66899,2,203.208459894,-13,53,106,2,16,16
67049,2,205.278434020,22,106,153,2,16,16
67199,2,207.348408145,34,79,130,2,16,16
67349,2,209.418382270,29,94,107,2,16,16
67499,2,211.488356396,57,97,115,2,16,16
67649,2,213.558330521,37,116,146,2,16,16
67799,2,215.628304646,75,116,174,2,16,16
67949,2,217.698278772,65,128,168,2,16,16
68099,2,219.768252897,107,130,182,2,16,16
68249,2,221.838227022,106,151,146,2,16,16
68399,2,223.908201147,117,166,164,2,16,16
68549,2,225.978175273,143,167,185,2,16,16
68699,2,228.048149398,187,165,214,2,16,16
68849,2,230.118123523,147,182,179,2,16,16
68999,2,232.188097649,164,203,193,2,16,16
69149,2,234.258071774,202,193,186,2,16,16
69299,2,236.328045899,182,217,191,2,16,16
69449,2,238.398020025,226,197,207,2,16,16
69599,2,240.467994150,202,228,197,2,16,16
69749,2,242.537968275,202,227,210,2,16,16
69899,2,244.607942401,208,192,215,2,16,16
70049,2,246.677916526,233,237,217,2,16,16
70199,2,248.747890651,212,218,224,2,16,16
70349,2,250.817864777,209,246,234,2,16,16
70499,2,252.887838902,202,225,243,2,16,16
70649,2,254.957813027,168,257,254,2,16,16
70799,2,257.027787153,179,215,226,2,16,16
70949,2,259.097761278,221,249,245,2,16,16
71099,2,261.167735403,209,227,218,2,16,16
71249,2,263.237709529,205,254,252,2,16,16
71399,2,265.307683654,211,183,230,2,16,16
71549,2,267.377657779,195,196,232,2,16,16
71699,2,269.447631905,218,234,216,2,16,16
71849,2,271.517606030,205,216,235,2,16,16
71999,2,273.587580155,240,240,255,2,16,16
72149,2,275.657554281,234,213,252,2,16,16
72299,2,277.727528406,259,249,275,2,16,16
72449,2,279.797502531,289,245,264,2,16,16
72599,2,281.867476657,296,249,280,2,16,16
72749,2,283.937450782,336,290,251,2,16,16
72899,2,286.007424907,356,320,273,2,16,16
73049,2,288.077399033,380,306,297,2,16,16
73199,2,290.147373158,423,316,316,2,16,16
73349,2,292.217347283,399,369,306,2,16,16
73499,2,294.287321408,423,369,317,2,16,16
73649,2,296.357295534,489,361,362,2,16,16
73799,2,298.427269659,519,395,313,2,16,16
73949,2,300.497243784,560,404,328,2,16,16
74099,2,302.567217910,557,385,374,2,16,16
74249,2,304.637192035,575,423,378,2,16,16
74399,2,306.707166160,557,385,357,2,16,16
74549,2,308.777140286,595,410,380,2,16,16
74699,2,310.847114411,597,439,391,2,16,16
74849,2,312.917088536,564,415,353,2,16,16
74999,2,314.987062662,560,379,360,2,16,16
75149,2,317.057036787,561,411,375,2,16,16
75299,2,319.127010912,548,385,386,2,16,16
75449,2,321.196985038,464,376,351,2,16,16
75599,2,323.266959163,486,361,322,2,16,16
75749,2,325.336933288,450,333,328,2,16,16
75899,2,327.406907414,397,308,321,2,16,16
76049,2,329.476881539,354,264,294,2,16,16
76199,2,331.546855664,300,257,253,2,16,16
76349,2,333.616829790,212,223,253,2,16,16
76499,2,335.686803915,171,177,219,2,16,16
76649,2,337.756778040,89,96,233,2,16,16
76799,2,339.826752166,3,72,217,2,16,16
76949,2,341.896726291,-52,44,158,2,16,16
77099,2,343.966700416,-106,-6,133,2,16,16
77249,2,346.036674542,-237,-47,131,2,16,16
77399,2,348.106648667,-318,-103,85,2,16,16
77549,2,350.176622792,-394,-151,83,2,16,16
77699,2,352.246596918,-402,-194,84,2,16,16
77849,2,354.316571043,-512,-209,23,2,16,16
77999,2,356.386545168,-574,-267,-37,2,16,16
78149,2,358.456519294,-647,-271,-20,2,16,16
78299,3,0.526493419,-704,-323,-40,2,16,16
78449,3,2.596467544,-770,-356,-57,2,16,16
78599,3,4.666441669,-770,-404,-67,2,16,16
78749,3,6.736415795,-799,-397,-48,2,16,16
78899,3,8.806389920,-862,-357,-82,2,16,16
79049,3,10.876364045,-858,-449,-90,2,16,16
79199,3,12.946338171,-856,-449,-94,2,16,16
79349,3,15.016312296,-837,-420,-95,2,16,16
79499,3,17.086286421,-817,-412,-121,2,16,16
79649,3,19.156260547,-776,-368,-88,2,16,16
79799,3,21.226234672,-738,-407,-94,2,16,16
79949,3,23.296208797,-700,-349,-103,2,16,16
80099,3,25.366182923,-644,-341,-72,2,16,16
80249,3,27.436157048,-631,-335,-83,2,16,16
80399,3,29.506131173,-554,-288,-33,2,16,16
80549,3,31.576105299,-452,-249,-4,2,16,16
80699,3,33.646079424,-390,-222,-4,2,16,16
80849,3,35.716053549,-313,-165,80,2,16,16
80999,3,37.786027675,-265,-106,57,2,16,16
81149,3,39.856001800,-176,-47,84,2,16,16
81299,3,41.925975925,-41,19,124,2,16,16
81449,3,43.995950051,40,10,114,2,16,16
81599,3,46.065924176,116,76,134,2,16,16
81749,3,48.135898301,199,122,162,2,16,16
81899,3,50.205872427,258,193,206,2,16,16
82049,3,52.275846552,375,190,219,2,16,16
82199,3,54.345820677,461,248,216,2,16,16
82349,3,56.415794803,541,276,260,2,16,16
82499,3,58.485768928,575,318,240,2,16,16
82649,3,60.555743053,627,348,290,2,16,16
82799,3,62.625717179,660,374,313,2,16,16
82949,3,64.695691304,744,417,309,2,16,16
83099,3,66.765665429,788,430,300,2,16,16
83249,3,68.835639555,773,434,306,2,16,16
83399,3,70.905613680,809,490,334,2,16,16
83549,3,72.975587805,818,482,330,2,16,16
83699,3,75.045561930,811,484,316,2,16,16
83849,3,77.115536056,774,438,319,2,16,16
83999,3,79.185510181,804,435,303,2,16,16
84149,3,81.255484306,808,475,296,2,16,16
84299,3,83.325458432,751,399,260,2,16,16
84449,3,85.395432557,738,412,296,2,16,16
84599,3,87.465406682,666,389,283,2,16,16
84749,3,89.535380808,716,406,272,2,16,16
84899,3,91.605354933,668,366,242,2,16,16
85049,3,93.675329058,623,331,247,2,16,16
85199,3,95.745303184,580,323,253,2,16,16
85349,3,97.815277309,535,280,193,2,16,16
85499,3,99.885251434,507,283,188,2,16,16
85649,3,101.955225560,465,252,175,2,16,16
